,locus_tag,cog,essential,y-ome
117,b0039,I,,well-annotated
118,b0221,I,,well-annotated
119,b1695,I,,well-annotated
120,b4187,I,,well-annotated
121,b0040,M,,well-annotated
122,b0314,M,,well-annotated
123,b1801,M,,y-ome
124,b0041,C,,y-ome
125,b1697,C,,y-ome
126,b2770,C,,y-ome
127,b0042,C,,y-ome
128,b1698,C,,y-ome
129,b2769,C,,y-ome
130,b0043,C,,y-ome
131,b1699,C,,y-ome
132,b2766,C,,y-ome
133,b3690,C,,y-ome
134,b0044,C,,y-ome
135,b1700,C,,y-ome
136,b2767,C,,y-ome
137,b0045,G,,y-ome
138,b1691,G,,y-ome
139,b1775,G,,y-ome
140,b2240,G,,well-annotated
141,b2246,G,,y-ome
142,b2789,G,,y-ome
143,b3093,G,,well-annotated
144,b3127,G,,well-annotated
145,b3666,G,,well-annotated
146,b3667,G,,well-annotated
147,b3691,G,,y-ome
148,b3874,G,,y-ome
149,b4356,G,,well-annotated
150,b0046,R,,well-annotated
151,b0901,R,,y-ome
152,b3028,R,,well-annotated
153,b3351,R,,y-ome
154,b0047,P,,well-annotated
155,b3350,P,,well-annotated
156,b0478,P,,y-ome
157,b1250,P,,well-annotated
158,b0048,H,True,well-annotated
159,b0049,T,,well-annotated
160,b1838,T,,well-annotated
161,b2734,T,,well-annotated
162,b0050,P,,y-ome
163,b0051,J,,well-annotated
164,b0052,H,,well-annotated
165,b0053,O,,well-annotated
166,b0441,O,,well-annotated
167,b3775,O,,well-annotated
168,b0054,M,True,well-annotated
169,b0055,O,,well-annotated
170,b2527,O,,well-annotated
171,b0058,J,,well-annotated
172,b1086,J,,well-annotated
173,b2594,J,,well-annotated
174,b2791,J,,well-annotated
175,b0059,K,,well-annotated
176,b0060,L,,well-annotated
177,b0061,G,,well-annotated
178,b2738,G,,y-ome
179,b2800,G,,well-annotated
180,b3583,G,,well-annotated
181,b3902,G,,well-annotated
182,b4198,G,,well-annotated
183,b0062,G,,well-annotated
184,b0063,G,,well-annotated
185,b0064,R,,well-annotated
186,b1299,R,,well-annotated
187,b1434,R,,well-annotated
188,b1696,R,,y-ome
189,b1735,R,,well-annotated
190,b1790,R,,well-annotated
191,b3905,R,,well-annotated
192,b3906,R,,well-annotated
193,b0305,K,,well-annotated
194,b0546,K,,y-ome
195,b0564,K,,well-annotated
196,b0566,K,,well-annotated
197,b1384,K,,well-annotated
198,b1499,K,,well-annotated
199,b2382,K,,y-ome
200,b2437,K,,y-ome
201,b3010,K,,well-annotated
202,b3515,K,,well-annotated
203,b3516,K,,well-annotated
204,b3569,K,,well-annotated
205,b3680,K,,y-ome
206,b3954,K,,y-ome
207,b4062,K,,well-annotated
208,b4116,K,,well-annotated
209,b4396,K,,well-annotated
210,b0065,S,,y-ome
211,b2136,S,,y-ome
212,b2317,S,,y-ome
213,b3009,S,,well-annotated
214,b3095,S,,well-annotated
215,b0066,H,,well-annotated
216,b0067,P,,well-annotated
217,b0890,P,True,well-annotated
218,b0068,H,,well-annotated
219,b0069,K,,well-annotated
220,b0445,K,,y-ome
221,b0070,G,,well-annotated
222,b0353,G,,well-annotated
223,b0396,G,,y-ome
224,b0427,G,,well-annotated
225,b0842,G,,well-annotated
226,b1053,G,,well-annotated
227,b1528,G,,well-annotated
228,b1534,G,,y-ome
229,b1596,G,,y-ome
230,b1657,G,,y-ome
231,b1660,G,,y-ome
232,b2077,G,,y-ome
233,b2170,G,,well-annotated
234,b2182,G,,well-annotated
235,b2322,G,,y-ome
236,b2686,G,,well-annotated
237,b2841,G,,well-annotated
238,b2943,G,,well-annotated
239,b3224,G,,well-annotated
240,b3659,G,,y-ome
241,b3662,G,,well-annotated
242,b3673,G,,well-annotated
243,b3710,G,,well-annotated
244,b4031,G,,well-annotated
245,b4279,G,,y-ome
246,b4337,G,,well-annotated
247,b0071,E,,well-annotated
248,b0072,E,,well-annotated
249,b0073,C,,well-annotated
250,b1800,C,,well-annotated
251,b0074,E,,well-annotated
252,b0352,E,,well-annotated
253,b0077,E,,well-annotated
254,b0871,E,,well-annotated
255,b2373,E,,well-annotated
256,b3671,E,,well-annotated
257,b0078,E,,well-annotated
258,b3670,E,,well-annotated
259,b0080,K,,well-annotated
260,b0345,K,,well-annotated
261,b1320,K,,y-ome
262,b1620,K,,well-annotated
263,b1658,K,,well-annotated
264,b2151,K,,well-annotated
265,b2714,K,,well-annotated
266,b2837,K,,well-annotated
267,b3075,K,,well-annotated
268,b3438,K,,well-annotated
269,b3753,K,,well-annotated
270,b3934,K,,well-annotated
271,b4241,K,,well-annotated
272,b4264,K,,well-annotated
273,b0081,J,,well-annotated
274,b0082,J,,well-annotated
275,b0083,D,True,well-annotated
276,b0084,D,True,well-annotated
277,b0635,D,True,well-annotated
278,b0085,M,True,well-annotated
279,b0086,M,True,well-annotated
280,b0087,M,True,well-annotated
281,b3784,M,,well-annotated
282,b0088,M,True,well-annotated
283,b0089,D,True,well-annotated
284,b0634,D,True,well-annotated
285,b0090,M,True,well-annotated
286,b0091,M,True,well-annotated
287,b4233,M,,well-annotated
288,b0092,M,,well-annotated
289,b0381,M,,well-annotated
290,b0093,D,True,well-annotated
291,b0094,D,True,well-annotated
292,b0095,D,True,well-annotated
293,b0096,M,True,well-annotated
294,b0098,U,True,well-annotated
295,b0099,V,,well-annotated
296,b1759,V,,well-annotated
297,b1865,V,,well-annotated
298,b2251,V,,well-annotated
299,b2467,V,,well-annotated
300,b2830,V,,well-annotated
301,b3034,V,,well-annotated
302,b3397,V,,well-annotated
303,b0101,L,,well-annotated
304,b0102,D,,well-annotated
305,b0103,H,,well-annotated
306,b0104,F,,well-annotated
307,b2508,F,,well-annotated
308,b0106,N,,y-ome
309,b3327,N,,excluded
310,b0107,N,,y-ome
311,b3326,N,,excluded
312,b0108,N,,y-ome
313,b0109,H,,well-annotated
314,b0110,M,,well-annotated
315,b0867,M,,well-annotated
316,b0111,V,,y-ome
317,b0112,E,,well-annotated
318,b0402,E,,well-annotated
319,b0576,E,,well-annotated
320,b1453,E,,y-ome
321,b2663,E,,well-annotated
322,b3795,E,,y-ome
323,b4208,E,,well-annotated
324,b0113,K,,well-annotated
325,b1187,K,,well-annotated
326,b2980,K,,well-annotated
327,b3094,K,,well-annotated
328,b3226,K,,well-annotated
329,b3604,K,,well-annotated
330,b4479,K,,y-ome
331,b3755,K,,y-ome
332,b4324,K,,well-annotated
333,b0114,C,,well-annotated
334,b0115,C,,well-annotated
335,b0727,C,,well-annotated
336,b0116,C,,well-annotated
337,b0304,C,,y-ome
338,b3500,C,,well-annotated
339,b3962,C,,well-annotated
340,b0117,M,,y-ome
341,b0739,M,,well-annotated
342,b3168,M,True,well-annotated
343,b0118,C,,well-annotated
344,b0119,S,,y-ome
345,b0120,E,,well-annotated
346,b0121,E,,well-annotated
347,b0123,D,,well-annotated
348,b3017,D,,well-annotated
349,b0124,G,,well-annotated
350,b0125,F,,well-annotated
351,b0126,P,True,well-annotated
352,b0339,P,,well-annotated
353,b0127,V,,y-ome
354,b0794,V,,well-annotated
355,b3486,V,,well-annotated
356,b0128,V,,y-ome
357,b0792,V,,well-annotated
358,b0793,V,,well-annotated
359,b3485,V,,y-ome
360,b0129,G,,y-ome
361,b1817,G,,well-annotated
362,b0130,G,,y-ome
363,b1023,G,,well-annotated
364,b2256,G,,y-ome
365,b0131,H,,well-annotated
366,b0132,L,,y-ome
367,b2244,L,,y-ome
368,b4543,L,,excluded
369,b2305,L,,y-ome
370,b3411,L,,well-annotated
371,b0133,H,,well-annotated
372,b0134,H,,well-annotated
373,b0135,N,,excluded
374,b0136,N,,excluded
375,b0137,N,,excluded
376,b0138,N,,excluded
377,b0141,N,,excluded
378,b0530,N,,y-ome
379,b0533,N,,y-ome
380,b0534,N,,y-ome
381,b0716,N,,y-ome
382,b0719,N,,y-ome
383,b0938,N,,well-annotated
384,b0941,N,,y-ome
385,b0942,N,,y-ome
386,b0943,N,,y-ome
387,b1502,N,,y-ome
388,b1503,N,,y-ome
389,b1504,N,,y-ome
390,b2108,N,,y-ome
391,b2111,N,,y-ome
392,b2333,N,,y-ome
393,b2334,N,,y-ome
394,b2335,N,,y-ome
395,b2339,N,,y-ome
396,b3043,N,,y-ome
397,b3048,N,,y-ome
398,b3142,N,,y-ome
399,b3145,N,,y-ome
400,b4314,N,,well-annotated
401,b4315,N,,y-ome
402,b4318,N,,well-annotated
403,b4319,N,,well-annotated
404,b4320,N,,well-annotated
405,b0139,N,,excluded
406,b0291,N,,excluded
407,b0532,N,,y-ome
408,b0718,N,,y-ome
409,b0940,N,,y-ome
410,b2109,N,,y-ome
411,b3144,N,,y-ome
412,b3216,N,,y-ome
413,b4317,N,,well-annotated
414,b0140,W,,excluded
415,b0289,W,,excluded
416,b0292,W,,excluded
417,b0531,W,,y-ome
418,b0717,W,,y-ome
419,b0939,W,,y-ome
420,b0944,W,,y-ome
421,b2110,W,,y-ome
422,b2336,W,,y-ome
423,b3047,W,,y-ome
424,b3143,W,,y-ome
425,b3215,W,,y-ome
426,b4316,W,,well-annotated
427,b0142,H,True,well-annotated
428,b0143,J,,well-annotated
429,b3056,J,True,well-annotated
430,b0144,J,,well-annotated
431,b0680,J,True,well-annotated
432,b2400,J,True,well-annotated
433,b0145,J,,well-annotated
434,b0803,J,,y-ome
435,b0146,G,,y-ome
436,b0147,J,,well-annotated
437,b0148,J,,y-ome
438,b1413,J,,well-annotated
439,b0149,M,,well-annotated
440,b3208,M,,well-annotated
441,b0150,P,,well-annotated
442,b0805,P,,well-annotated
443,b0151,P,,well-annotated
444,b0588,P,,well-annotated
445,b4287,P,,well-annotated
446,b0152,P,,well-annotated
447,b0158,P,,well-annotated
448,b0153,P,,well-annotated
449,b0590,P,,well-annotated
450,b4288,P,,well-annotated
451,b4289,P,,well-annotated
452,b0154,H,True,well-annotated
453,b0155,P,,well-annotated
454,b1592,P,,y-ome
455,b2389,P,,y-ome
456,b0156,O,True,well-annotated
457,b1684,O,,well-annotated
458,b2528,O,,well-annotated
459,b3414,O,,well-annotated
460,b0157,S,,y-ome
461,b3646,S,,y-ome
462,b0159,F,,well-annotated
463,b1982,F,,well-annotated
464,b0160,F,,well-annotated
465,b0161,O,,well-annotated
466,b3234,O,,well-annotated
467,b3235,O,True,well-annotated
468,b0162,K,,well-annotated
469,b0164,R,,well-annotated
470,b0166,E,True,well-annotated
471,b0167,O,,well-annotated
472,b0168,J,True,well-annotated
473,b0169,J,True,well-annotated
474,b0170,J,True,well-annotated
475,b0171,F,True,well-annotated
476,b0172,J,True,well-annotated
477,b0173,I,True,well-annotated
478,b0174,I,True,well-annotated
479,b0175,I,True,well-annotated
480,b0176,O,True,well-annotated
481,b0177,M,True,well-annotated
482,b0178,M,,well-annotated
483,b0179,M,True,well-annotated
484,b0180,I,True,well-annotated
485,b0954,I,True,well-annotated
486,b0181,M,True,well-annotated
487,b0182,M,True,well-annotated
488,b0183,L,,well-annotated
489,b0184,L,True,well-annotated
490,b0185,I,True,well-annotated
491,b0186,E,,well-annotated
492,b0693,E,,well-annotated
493,b2965,E,,well-annotated
494,b4117,E,,well-annotated
495,b4131,E,,well-annotated
496,b0187,Q,,y-ome
497,b1651,Q,,well-annotated
498,b0188,J,True,well-annotated
499,b1344,J,,well-annotated
500,b0189,K,,y-ome
501,b0190,S,,y-ome
502,b0191,J,,well-annotated
503,b2891,J,,well-annotated
504,b0192,M,,well-annotated
505,b0193,M,,y-ome
506,b0227,M,,y-ome
507,b1655,M,,well-annotated
508,b1708,M,,y-ome
509,b2175,M,,well-annotated
510,b0194,J,True,well-annotated
511,b0195,J,,well-annotated
512,b0197,P,,well-annotated
513,b3661,P,,y-ome
514,b0198,E,,well-annotated
515,b0199,E,,well-annotated
516,b0200,E,,well-annotated
517,b2022,E,,well-annotated
518,b0207,Q,,well-annotated
519,b1781,Q,,well-annotated
520,b3012,Q,,well-annotated
521,b0209,R,,y-ome
522,b0210,H,,y-ome
523,b0213,H,,y-ome
524,b0777,H,,well-annotated
525,b1822,H,,well-annotated
526,b1870,H,,well-annotated
527,b3833,H,,well-annotated
528,b0211,M,,well-annotated
529,b1193,M,,well-annotated
530,b2963,M,,well-annotated
531,b4392,M,,well-annotated
532,b1113,M,,well-annotated
533,b1856,M,,well-annotated
534,b1978,M,,y-ome
535,b2742,M,,well-annotated
536,b2865,M,,y-ome
537,b0212,R,,well-annotated
538,b0927,R,,well-annotated
539,b0214,L,,well-annotated
540,b0215,L,,well-annotated
541,b1652,L,,well-annotated
542,b1844,L,,well-annotated
543,b0219,R,,well-annotated
544,b1843,R,,y-ome
545,b0222,G,,well-annotated
546,b3149,G,,well-annotated
547,b0223,R,,y-ome
548,b0224,M,,y-ome
549,b0225,J,,well-annotated
550,b0226,V,,well-annotated
551,b1564,V,,well-annotated
552,b0228,X,,well-annotated
553,b0231,L,,well-annotated
554,b1184,L,,well-annotated
555,b0232,V,,well-annotated
556,b2017,V,True,well-annotated
557,b0234,K,,y-ome
558,b1932,K,,y-ome
559,b0237,E,,well-annotated
560,b1127,E,,well-annotated
561,b0238,H,,well-annotated
562,b0239,T,,well-annotated
563,b1327,T,,y-ome
564,b2534,T,,y-ome
565,b4190,T,,well-annotated
566,b0241,M,,well-annotated
567,b0929,M,,well-annotated
568,b1377,M,,well-annotated
569,b2215,M,,well-annotated
570,b0242,E,,well-annotated
571,b0243,E,,well-annotated
572,b0247,L,,y-ome
573,b2002,L,,y-ome
574,b2644,L,,y-ome
575,b3638,L,,y-ome
576,b0253,R,,y-ome
577,b2632,R,,y-ome
578,b0256,X,,well-annotated
579,b1404,X,,well-annotated
580,b4284,X,,well-annotated
581,b0259,X,,well-annotated
582,b0552,X,,well-annotated
583,b0656,X,,well-annotated
584,b1331,X,,well-annotated
585,b1994,X,,well-annotated
586,b2030,X,,well-annotated
587,b2192,X,,well-annotated
588,b2982,X,,well-annotated
589,b3218,X,,well-annotated
590,b3505,X,,well-annotated
591,b0260,E,,well-annotated
592,b2156,E,,well-annotated
593,b0261,E,,well-annotated
594,b0262,E,,y-ome
595,b0855,E,,well-annotated
596,b1126,E,,well-annotated
597,b1441,E,,y-ome
598,b3450,E,,well-annotated
599,b4035,E,,well-annotated
600,b0267,X,,y-ome
601,b0299,X,,well-annotated
602,b0361,X,,well-annotated
603,b0372,X,,well-annotated
604,b0541,X,,well-annotated
605,b1026,X,,well-annotated
606,b1402,X,,well-annotated
607,b1996,X,,well-annotated
608,b2089,X,,well-annotated
609,b2860,X,,well-annotated
610,b3045,X,,well-annotated
611,b3558,X,,well-annotated
612,b4273,X,,well-annotated
613,b0268,E,,well-annotated
614,b2478,E,True,well-annotated
615,b3225,E,,well-annotated
616,b4298,E,,y-ome
617,b0269,E,,well-annotated
618,b1851,E,,well-annotated
619,b3771,E,,well-annotated
620,b4297,E,,well-annotated
621,b0270,G,True,y-ome
622,b1616,G,,well-annotated
623,b1828,G,,y-ome
624,b2098,G,,y-ome
625,b3657,G,,y-ome
626,b3876,G,,well-annotated
627,b3877,G,,y-ome
628,b4120,G,,well-annotated
629,b0271,G,,y-ome
630,b0272,K,,y-ome
631,b0346,K,,well-annotated
632,b0506,K,,well-annotated
633,b1827,K,,well-annotated
634,b2248,K,,y-ome
635,b3574,K,,well-annotated
636,b4018,K,,well-annotated
637,b4299,K,,y-ome
638,b0273,E,,well-annotated
639,b2870,E,,y-ome
640,b4254,E,,well-annotated
641,b0278,L,,y-ome
642,b0544,L,,y-ome
643,b1158,L,,well-annotated
644,b1374,L,,y-ome
645,b1545,L,,y-ome
646,b0281,L,,y-ome
647,b0537,L,,y-ome
648,b1140,L,,y-ome
649,b1345,L,,y-ome
650,b2349,L,,y-ome
651,b2442,L,,y-ome
652,b2622,L,,well-annotated
653,b4312,L,,well-annotated
654,b0283,O,,y-ome
655,b2875,O,,y-ome
656,b0284,C,,well-annotated
657,b2866,C,,y-ome
658,b2881,C,,y-ome
659,b0285,C,,well-annotated
660,b2867,C,,y-ome
661,b2880,C,,y-ome
662,b0286,C,,well-annotated
663,b2868,C,,y-ome
664,b0287,S,,y-ome
665,b0288,R,,y-ome
666,b0294,K,,well-annotated
667,b0315,K,,well-annotated
668,b2846,K,,y-ome
669,b3512,K,,well-annotated
670,b4506,J,,y-ome
671,b3299,J,,well-annotated
672,b0296,J,,y-ome
673,b3936,J,,well-annotated
674,b0298,X,,well-annotated
675,b0360,X,,well-annotated
676,b0373,X,,well-annotated
677,b0540,X,,well-annotated
678,b1027,X,,well-annotated
679,b1403,X,,well-annotated
680,b1997,X,,well-annotated
681,b2088,X,,well-annotated
682,b2861,X,,well-annotated
683,b3044,X,,well-annotated
684,b3557,X,,well-annotated
685,b4272,X,,well-annotated
686,b0301,S,,y-ome
687,b0306,C,,y-ome
688,b1687,C,,y-ome
689,b2243,C,,well-annotated
690,b4467,C,,y-ome
691,b0307,C,,y-ome
692,b0308,C,,y-ome
693,b0311,I,,well-annotated
694,b0312,C,,well-annotated
695,b1241,C,,well-annotated
696,b1300,C,,well-annotated
697,b1385,C,,well-annotated
698,b1387,C,,well-annotated
699,b1415,C,,well-annotated
700,b1444,C,,well-annotated
701,b1525,C,,well-annotated
702,b1746,C,,well-annotated
703,b2455,C,,y-ome
704,b2661,C,,well-annotated
705,b3588,C,,well-annotated
706,b0313,K,,well-annotated
707,b0464,K,,well-annotated
708,b0796,K,,well-annotated
709,b1013,K,,well-annotated
710,b1111,K,,well-annotated
711,b1618,K,,well-annotated
712,b1649,K,,well-annotated
713,b3264,K,,well-annotated
714,b3641,K,,well-annotated
715,b3963,K,,well-annotated
716,b4135,K,,y-ome
717,b4251,K,,y-ome
718,b0833,T,,y-ome
719,b1163,T,,well-annotated
720,b1168,T,,y-ome
721,b1489,T,,well-annotated
722,b1707,T,,well-annotated
723,b1815,T,,y-ome
724,b2067,T,,y-ome
725,b2176,T,,y-ome
726,b2395,T,,y-ome
727,b2503,T,,well-annotated
728,b3252,T,,well-annotated
729,b3525,T,,well-annotated
730,b3529,T,,y-ome
731,b0318,T,,y-ome
732,b0320,C,,y-ome
733,b0518,C,,y-ome
734,b0729,C,,well-annotated
735,b0323,E,,y-ome
736,b0521,E,,y-ome
737,b2874,E,,y-ome
738,b0324,F,,y-ome
739,b0337,F,,well-annotated
740,b2879,F,,y-ome
741,b2883,F,,well-annotated
742,b0325,G,,well-annotated
743,b1478,G,,well-annotated
744,b4269,G,,well-annotated
745,b0328,E,,y-ome
746,b1798,E,,well-annotated
747,b2578,E,,well-annotated
748,b3823,E,,well-annotated
749,b3824,E,,well-annotated
750,b0330,K,,well-annotated
751,b2869,K,,y-ome
752,b0331,G,,well-annotated
753,b0333,C,,well-annotated
754,b0720,C,,well-annotated
755,b0334,G,,well-annotated
756,b0335,I,,well-annotated
757,b4069,I,,well-annotated
758,b0336,F,,well-annotated
759,b0340,P,,well-annotated
760,b0341,P,,y-ome
761,b1769,P,,y-ome
762,b1791,P,,well-annotated
763,b0342,R,,well-annotated
764,b0459,R,,well-annotated
765,b2033,R,,y-ome
766,b2054,R,,y-ome
767,b0343,P,,well-annotated
768,b0433,P,,well-annotated
769,b0479,P,,well-annotated
770,b1223,P,,well-annotated
771,b1469,P,,well-annotated
772,b2775,P,,y-ome
773,b3547,P,,y-ome
774,b0344,G,,well-annotated
775,b1617,G,,well-annotated
776,b3076,G,,excluded
777,b0347,H,,well-annotated
778,b0662,H,,well-annotated
779,b2906,H,,well-annotated
780,b2907,H,,well-annotated
781,b0348,Q,,well-annotated
782,b3039,Q,,well-annotated
783,b0349,H,,well-annotated
784,b0686,H,,well-annotated
785,b2263,H,,well-annotated
786,b3412,H,,well-annotated
787,b0350,Q,,well-annotated
788,b0351,Q,,well-annotated
789,b0354,S,,y-ome
790,b0355,V,,well-annotated
791,b2154,V,,well-annotated
792,b0356,R,,well-annotated
793,b0357,K,,well-annotated
794,b2105,K,,well-annotated
795,b0363,N,,y-ome
796,b0569,N,,y-ome
797,b1022,N,,well-annotated
798,b3533,N,,well-annotated
799,b0364,G,,y-ome
800,b0365,P,,well-annotated
801,b0366,P,,well-annotated
802,b0367,P,,well-annotated
803,b0934,P,,well-annotated
804,b0368,Q,,well-annotated
805,b0369,H,True,well-annotated
806,b0375,T,,y-ome
807,b1334,T,,well-annotated
808,b2163,T,,y-ome
809,b3357,T,,well-annotated
810,b0376,V,,well-annotated
811,b2430,V,,well-annotated
812,b4150,V,,well-annotated
813,b0377,I,,well-annotated
814,b0383,P,,well-annotated
815,b0385,T,,well-annotated
816,b1025,T,,well-annotated
817,b1341,T,,well-annotated
818,b1490,T,,well-annotated
819,b1535,T,,well-annotated
820,b1956,T,,y-ome
821,b0386,E,,well-annotated
822,b0387,S,,y-ome
823,b0388,E,,well-annotated
824,b3390,E,,well-annotated
825,b0391,S,,well-annotated
826,b0393,L,,well-annotated
827,b0394,K,,well-annotated
828,b0676,K,,well-annotated
829,b1119,K,,well-annotated
830,b1594,K,,well-annotated
831,b2550,K,,y-ome
832,b3222,K,,well-annotated
833,b4084,K,True,well-annotated
834,b0397,L,,well-annotated
835,b0398,L,,well-annotated
836,b0399,T,,well-annotated
837,b0571,T,,well-annotated
838,b0694,T,,well-annotated
839,b0995,T,,well-annotated
840,b1130,T,,well-annotated
841,b1235,T,,well-annotated
842,b1608,T,,well-annotated
843,b1882,T,,well-annotated
844,b1969,T,,well-annotated
845,b2079,T,,well-annotated
846,b3025,T,,well-annotated
847,b3405,T,,well-annotated
848,b3912,T,,well-annotated
849,b4113,T,,well-annotated
850,b4398,T,,well-annotated
851,b4401,T,,well-annotated
852,b0400,T,,well-annotated
853,b0570,T,,well-annotated
854,b2078,T,,well-annotated
855,b0401,E,,well-annotated
856,b0403,G,,well-annotated
857,b1309,G,,y-ome
858,b1927,G,,well-annotated
859,b3571,G,,well-annotated
860,b4239,G,,well-annotated
861,b0404,I,,well-annotated
862,b0405,J,,well-annotated
863,b0406,J,,well-annotated
864,b0407,U,,well-annotated
865,b0408,U,True,well-annotated
866,b0409,U,True,well-annotated
867,b0410,V,,y-ome
868,b1159,V,,well-annotated
869,b0411,M,,well-annotated
870,b0413,K,,well-annotated
871,b4238,K,,well-annotated
872,b0414,H,True,well-annotated
873,b0415,H,True,well-annotated
874,b0416,K,,well-annotated
875,b3289,K,,well-annotated
876,b0417,H,True,well-annotated
877,b0418,I,,well-annotated
878,b0419,R,,well-annotated
879,b1406,R,,well-annotated
880,b1771,R,,well-annotated
881,b2834,R,,y-ome
882,b3001,R,,well-annotated
883,b0420,H,True,well-annotated
884,b0421,H,True,well-annotated
885,b3187,H,True,well-annotated
886,b0422,L,,well-annotated
887,b0423,H,,well-annotated
888,b1308,P,,well-annotated
889,b2668,P,,well-annotated
890,b3425,P,,well-annotated
891,b3611,P,,y-ome
892,b0424,R,,well-annotated
893,b1967,R,,well-annotated
894,b3153,R,,well-annotated
895,b0425,H,,well-annotated
896,b0426,S,,well-annotated
897,b0428,H,,well-annotated
898,b0429,C,,well-annotated
899,b0430,C,,well-annotated
900,b0431,C,,well-annotated
901,b0432,C,,well-annotated
902,b0434,S,,y-ome
903,b0435,T,,well-annotated
904,b0436,O,,well-annotated
905,b0437,O,,well-annotated
906,b0438,O,,well-annotated
907,b0439,O,,well-annotated
908,b0440,L,,well-annotated
909,b0912,L,,well-annotated
910,b1712,L,,well-annotated
911,b4000,L,,well-annotated
912,b0442,L,,y-ome
913,b0443,I,,well-annotated
914,b0736,I,,well-annotated
915,b0444,J,,well-annotated
916,b0446,H,,well-annotated
917,b0766,H,,well-annotated
918,b0822,H,,well-annotated
919,b0844,H,,well-annotated
920,b3697,H,,well-annotated
921,b3826,H,,well-annotated
922,b0447,K,,well-annotated
923,b0889,K,,well-annotated
924,b2160,K,,y-ome
925,b3743,K,,well-annotated
926,b0448,V,,y-ome
927,b0449,V,,y-ome
928,b0914,V,True,well-annotated
929,b0450,T,,well-annotated
930,b2553,T,,well-annotated
931,b0451,P,,well-annotated
932,b0452,I,,well-annotated
933,b0453,S,,y-ome
934,b0454,K,,well-annotated
935,b0456,S,,y-ome
936,b0457,T,,y-ome
937,b4061,T,,y-ome
938,b0462,V,,well-annotated
939,b2075,V,,well-annotated
940,b2076,V,,well-annotated
941,b2470,V,,well-annotated
942,b3266,V,,well-annotated
943,b3514,V,,well-annotated
