,gene_name,synonyms,gene_product,COG,regulator,uniprot,left,right,strand,essential,core_genome,iML1515,oxidizeME,DGF_strain,MS57,pseudogene,y_ome,k_eff,schmidt_prot_med,heckmann_prot_med,proteomics,p1k,p1k_ctrl_log_tpm,p1k_median_log_tpm,p1k_mad_log_tpm,in_iM,median_log_tpm,mad_log_tpm,pct10_log_tpm,pct25_log_tpm,max_log_tpm,min_log_tpm,mean_log_tpm,skew,range_log_tpm,max_to_median,min_to_median,low,in_complex
b0011,yaaW,yaaW,putative enzyme-specific chaperone YaaW,Function unknown,,P75617,10643,11356,-,False,False,False,False,True,True,False,True,False,,,False,True,1.903270928,2.109164007,0.5343640234295999,False,2.109164007,0.36042359599999996,1.3604776913999999,1.7202475215,4.097772906,0.0,2.0838515399357997,-0.13934532183556933,4.097772906,1.9886088990000004,-2.109164007,False,False
b0012,mbiA,,uncharacterized protein MbiA,No COG annotation,RpoH,UPI000016F239,10830,11315,+,False,False,False,False,False,False,False,True,False,,,False,True,0.299486482,0.594026547,0.5102842895388,True,0.589243461,0.34132988,,,4.124902308,0.0,0.6671524950508783,1.7725591187699061,4.124902308,3.535658847,-0.589243461,True,False
b0013,yaaI,yaaI,DUF2541 domain-containing protein YaaI,Function unknown,,P28696,11382,11786,-,False,False,False,False,True,True,False,True,False,,,False,True,1.190337193,1.317029395,0.5778183948768,True,1.317029395,0.389733168,0.5166570096095782,0.919857668,3.873504723,0.0,1.304407093239258,0.17704940103443548,3.873504723,2.556475328,-1.317029395,True,False
b0014,dnaK,dnaK;groP;grpF;seg,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones","YbiH,RpoH,gcvB",P0A6Y8,12163,14079,+,False,True,False,True,True,True,False,False,True,18277.0,7277.0,True,True,9.5705792205,9.788785059,0.7524305394395999,True,9.788785059,0.507507446,8.43536489399283,9.23676579632871,14.20338485,4.988695513,9.788689514764473,-0.01345030649849056,9.214689337000001,4.4145997910000006,-4.800089546000001,False,True
b0015,dnaJ,dnaJ;groP,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones","RpoH,ppGpp",P08622,14168,15298,+,False,True,False,True,True,True,False,False,True,657.5,1141.0,True,True,7.577533457499999,7.786829787,0.6883627084235991,True,7.786829787,0.46429428599999945,6.6018630162,7.3234773935,10.91308685,3.958265923,7.794478438716187,0.18086265189252765,6.954820926999999,3.126257062999999,-3.8285638640000004,False,True
b0016,insL-1,insL1,IS186/IS421 transposase,"Replication, recombination and repair",ppGpp,P0CF91,15445,16557,+,False,False,False,False,False,False,False,False,False,,,False,True,5.8941026905000005,5.661573367999999,0.505780227833999,True,5.672602175050553,0.3234561569494474,,,8.107305998,3.699072951,5.700643001493439,0.36062237994974683,4.4082330469999995,2.434703822949446,-1.9735292240505529,False,False
b0018,mokC,mokC;gefL,regulatory protein MokC,Function unknown,sokC,P33236,16751,16960,-,False,False,False,False,True,False,False,True,False,,,False,True,3.4992482705,3.724600236,0.9236288195904,False,3.724600236,0.6229791040000001,2.2698525596000003,3.106382155,7.51006655,0.0,3.6467316094898172,-0.7313307901539449,7.51006655,3.785466314,-3.724600236,False,False
b0019,nhaA,nhaA;ant,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,"RpoD,YdcI,RpoS,H-NS,ppGpp,NhaR",P13738,17489,18655,+,False,False,True,True,True,False,False,False,False,,,False,True,5.6964065955,5.930505067,0.655398405076799,False,5.930505067,0.44206016799999936,5.146798077800001,5.5169352840000006,9.284525927,2.5559772885154217,6.0010317236590085,0.6174160347956722,6.728548638484579,3.3540208600000003,-3.3745277784845786,False,True
b0020,nhaR,nhaR;antO,DNA-binding transcriptional activator NhaR,Transcription,"RpoD,RpoS,H-NS,NhaR,CsrA,YdeO",P0A9G2,18715,19620,+,False,False,False,False,True,False,False,False,False,,,False,True,5.8164771085,5.417989522,0.5379172907891996,False,5.417989522,0.36282024199999974,4.725865793,5.0297677955,7.544338662687178,3.632022188,5.41836109275388,0.2311799544398002,3.9123164746871777,2.1263491406871777,-1.785967334,False,True
b0021,insB-1,insB1,IS1 protein InsB,"Replication, recombination and repair",,A0A385XJL4,19811,20314,-,False,False,False,False,False,False,False,False,False,,,False,True,1.6051210285000002,2.4384750790000003,0.8442064446395998,True,2.473030573,0.5597534909999999,,,5.75331937,0.0,2.5528258712455596,0.23114921860892645,5.75331937,3.280288797,-2.473030573,False,True
b0022,insA-1,insA1,IS1 protein InsA,"Replication, recombination and repair",ppGpp,A0A385XJ53,20233,20508,-,False,False,False,False,False,False,False,False,False,,,False,True,4.340658829500001,3.981927598,0.9089769361343996,True,4.009642471,0.5877229900000001,,,6.6380647810000015,0.0,4.044433469358828,-0.16351592317982805,6.6380647810000015,2.6284223100000013,-4.009642471,False,True
b0023,rpsT,rpsT,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis","ppGpp,DksA",P0A7U7,20815,21078,-,False,True,False,True,True,True,False,False,True,18653.0,1597.0,True,True,12.094109915,11.62066972,0.9008793544799992,True,11.62066972,0.6076347999999996,10.091680986,10.78694477023868,14.01899192,6.374689674,11.426306722085716,-0.983890652417281,7.644302246,2.398322199999999,-5.245980046000001,False,True
b0024,yaaY,yaaY,DUF2575 domain-containing protein YaaY,Function unknown,,P75620,21181,21399,+,False,False,False,False,True,True,False,True,False,,,False,True,3.3954527545,3.872473825,1.2497460226943995,True,3.872473825,0.8429421439999998,2.5476595154,3.10672648,8.741340617,0.0,3.9951930192147262,0.4699030752563658,8.741340617,4.868866792,-3.872473825,False,False
b0025,ribF,ribF;yaaC,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,RpoD,P0AG40,21407,22348,+,True,True,True,True,True,True,False,False,True,136.0,207.0,True,True,8.1726282895,7.974349048,0.4373822633669999,False,7.974349048,0.295010295,7.4776422047999995,7.701924999999999,9.824852582433763,5.793080156,7.968474156158905,-0.6023031132108044,4.031772426433763,1.8505035344337637,-2.1812688919999994,False,False
b0026,ileS,ileS;ilvS,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis","RpoD,RpoH",P00956,22391,25207,+,False,True,False,True,True,True,False,False,True,1652.0,2673.0,True,True,8.937167416000001,8.630005282,0.4491007856580001,False,8.630005282,0.3029143300000001,7.939340119648613,8.306978613,10.38577746,6.676247428973251,8.582073513717475,-0.7050775407358433,3.709530031026749,1.755772177999999,-1.95375785302675,False,True
b0027,lspA,lspA;lsp,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,"RpoD,RpoH",P00804,25207,25701,+,True,False,False,True,True,True,False,False,False,,,False,True,7.637783302999999,7.638965224,0.4666288093320017,False,7.638965224,0.31473682000000114,6.926065681041008,7.329805979250311,10.17258161,5.748531488999999,7.616475572765619,-0.17842497412794564,4.4240501210000005,2.5336163860000003,-1.8904337350000002,False,True
b0028,fkpB,fkpB;slpA;yaaD,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoH",P0AEM0,25826,26275,+,False,False,False,False,True,True,False,False,True,1206.5,786.0,True,True,7.3203095985,7.261527757,0.4862123437457999,False,7.261527757,0.32794573299999996,6.669611315,6.9431916205,9.996483127,4.321677428,7.243989453115361,-0.24255426747504436,5.674805698999999,2.7349553699999998,-2.9398503289999995,False,True
b0029,ispH,ispH;lytB;yaaE,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,Lipid transport and metabolism,"RpoD,RpoH",P62623,26277,27227,+,True,True,True,True,True,True,False,False,True,141.5,352.0,True,True,6.9374853695,7.1309263220000005,0.4045327532903996,False,7.1309263220000005,0.2728536039999998,6.47187558032291,6.811755043,9.517776998,4.246239653,7.073408920138674,-0.5963718319615191,5.2715373450000005,2.386850676,-2.8846866690000006,False,True
b0030,rihC,rihC;yaaF,ribonucleoside hydrolase RihC,Nucleotide transport and metabolism,,P22564,27293,28207,+,False,False,True,True,True,True,False,False,False,211.5,,True,True,4.4575947445,4.242850221,0.8996970936576001,False,4.242850221,0.6068373760000001,3.160680051258771,3.6649768454463665,8.53836354,1.684706115,4.459537877346112,0.9227725079657725,6.853657425000001,4.295513319,-2.5581441060000003,False,False
b0031,dapB,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,"RpoD,ArgP,Nac",P04036,28374,29195,+,True,False,True,True,True,True,False,False,True,1691.5,1929.0,True,True,8.4498148065,7.827564917,1.1068466031756004,True,7.827564917,0.7465578060000002,6.724255265582909,7.1345716985,10.775352600931464,4.489992556,7.8895564418024415,-0.019349283302032935,6.285360044931465,2.9477876839314643,-3.3375723610000003,False,True
b0032,carA,carA;pyrA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",P0A6F1,29651,30799,+,False,False,True,True,True,True,False,False,True,4444.5,2154.0,True,True,10.21556431,8.08412212,1.9417005312516,True,8.08412212,1.309659066,4.631948523599999,6.138805168999999,12.05435694,2.003920684009919,7.604639500196577,-0.6292685295911544,10.050436255990082,3.97023482,-6.080201435990081,False,True
b0033,carB,carB;pyrA,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",P00968,30817,34038,+,False,False,True,True,True,True,False,False,True,2238.5,2506.0,True,True,9.865357505,7.6721168,1.5908779791197207,True,7.6721168,1.0730324963710514,4.501130287642352,6.460248353000001,11.56694809,1.921295596079496,7.353018808433928,-0.7188730802082902,9.645652493920505,3.89483129,-5.750821203920505,False,True
b0034,caiF,caiF,DNA-binding transcriptional activator CaiF,Transcription,"RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac",P0AE58,34300,34695,+,False,False,False,False,True,True,False,False,False,,,False,True,5.7256982415,4.851363079,1.3137840490025987,True,4.851363079,0.8861352009999992,3.2468615938202605,3.905694829053468,10.66016071,0.815953443,4.878891319998483,0.5593922428175061,9.844207267,5.808797630999999,-4.035409636000001,False,False
b0035,caiE,caiE,putative transferase CaiE,Function unknown,"RpoD,H-NS,Fnr,ArcA,Crp,CaiF",P39206,34781,35371,-,False,False,False,False,True,True,False,True,False,,,False,True,2.270286447,1.7731834306863057,0.7267920839519169,False,1.7731834306863057,0.49021454468630576,0.8388583022265107,1.284252371,4.214724296,0.0,1.7732392369634993,0.04360198495947118,4.214724296,2.4415408653136943,-1.7731834306863057,True,True
b0036,caiD,caiD;yaaL,crotonobetainyl-CoA hydratase,Lipid transport and metabolism,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",P31551,35377,36162,-,False,False,True,True,True,True,False,False,False,,,False,True,1.126332969,1.2990903176222093,0.5913613370883126,False,1.2990903176222093,0.3988677573777908,0.5172870658000001,0.8989239878000747,3.722931033,0.0,1.315408887541426,0.3631944095424637,3.722931033,2.423840715377791,-1.2990903176222093,True,True
b0037,caiC,caiC;yaaM,carnitine-CoA ligase,Lipid transport and metabolism,"RpoD,YbiH,H-NS,Fnr,Crp,ArcA,CaiF",P31552,36271,37824,-,False,False,True,True,True,True,False,False,False,,,False,True,3.0086073835,2.7341611619638537,0.5492102074924096,False,2.7341611619638537,0.37043720996385376,2.0055812611036536,2.3615701805000002,5.498744318006547,0.684352491,2.727759249928606,0.14518000845575937,4.814391827006546,2.764583156042693,-2.049808670963854,False,True
b0038,caiB,caiB;yaaN,gamma-butyrobetainyl-CoA:carnitine CoA transferase,Energy production and conversion,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",P31572,37898,39115,-,False,False,True,True,True,True,False,False,False,,,False,True,2.5269069305,2.850299283,0.5269157316192,False,2.850299283,0.35539979200000005,2.1554068643999997,2.5034857335159075,4.839578004,1.1452508,2.8721787447224005,0.19315582725884378,3.694327204,1.9892787209999998,-1.7050484830000001,False,True
b0039,caiA,caiA;yaaO,crotonobetainyl-CoA reductase,Lipid transport and metabolism,"RpoD,YfeC,H-NS,Fnr,Crp,ArcA,CaiF,spf",P60584,39244,40386,-,False,False,False,False,True,True,False,False,False,,,False,True,3.370784767,3.6331426033618666,0.6259960684498961,False,3.6331426033618666,0.4222285636381331,2.974653357,3.2568157904809967,5.85699308,1.7214531240000002,3.69932006362501,0.2229779355514654,4.135539956,2.223850476638133,-1.9116894793618664,False,True
b0040,caiT,caiT;yaaP,L-carnitine:gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",P31553,40417,41931,-,False,False,True,True,True,True,False,False,False,,,False,True,0.80062966,1.025212414,0.3950978175102,False,1.025212414,0.266489827,0.5603384948000001,0.773921589,3.5789554160000003,0.0,1.0626169579240978,0.8416159035076775,3.5789554160000003,2.553743002,-1.025212414,True,True
b0041,fixA,fixA;yaaQ,putative electron transfer flavoprotein FixA,Energy production and conversion,"RpoD,Fnr,Crp,CaiF",P60566,42403,43173,+,False,False,False,False,True,True,False,True,False,,,False,True,1.5463373265,1.2907153340000002,0.5357390637648002,False,1.2907153340000002,0.3613510480000002,0.59122104,0.9037360977964576,4.795468512,0.0,1.2915347066812053,0.7469240613630201,4.795468512,3.504753178,-1.2907153340000002,True,True
b0042,fixB,fixB;yaaR,putative electron transfer flavoprotein FixB,Energy production and conversion,"RpoD,YbaQ,Fnr,Crp,CaiF",P31574,43188,44129,+,False,False,False,False,True,True,False,True,False,,,False,True,1.159477227,1.1286936505778378,0.4908501692136975,False,1.1286936505778378,0.33107390342216214,0.5244827677849438,0.7952261970391167,4.879194468000001,0.0,1.1525032013965038,1.24789191826226,4.879194468000001,3.7505008174221626,-1.1286936505778378,True,True
b0043,fixC,fixC;yaaS,putative oxidoreductase FixC,Energy production and conversion,"RpoD,Fnr,Crp,CaiF",P68644,44180,45466,+,False,False,False,False,True,True,False,True,False,,,False,True,1.048258925,1.134635631,0.4344666029634001,False,1.134635631,0.2930437090000001,0.6084046258,0.8413250605,4.438029947,0.0,1.1714514381647043,1.264431636925938,4.438029947,3.3033943160000003,-1.134635631,True,True
b0044,fixX,fixX;yaaT,putative ferredoxin FixX,Energy production and conversion,,P68646,45463,45750,+,False,False,False,False,True,True,False,True,False,,,False,True,1.0564539469112129,1.065221997113529,0.6699981801362889,True,1.065221997113529,0.4519075813680621,0.0,0.5876571315819925,4.073628436750662,0.0,1.0514452022328835,0.3151364862455862,4.073628436750662,3.008406439637133,-1.065221997113529,True,True
b0045,yaaU,yaaU;yabE,putative transporter YaaU,Inorganic ion transport and metabolism,"RpoN,ArgR",P31679,45807,47138,+,False,False,False,False,True,True,False,True,False,,,False,True,0.5528232255000001,0.935427199,0.393786827896763,False,0.935427199,0.265605576619967,0.5139198046,0.6904386065000001,3.759078484,0.0,1.0005592597823596,1.195910751144995,3.759078484,2.8236512850000004,-0.935427199,True,False
b0046,kefF,kefF;yabF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,Energy production and conversion,,P0A754,47246,47776,+,False,False,True,False,True,True,False,False,False,,,False,True,4.842012191,4.391251187807568,0.8110521093230998,False,4.391251187807568,0.5470471531924321,3.0036888416000003,3.717460126313188,6.748079365,1.340728335,4.2593778450884106,-0.476051398637092,5.407351029999999,2.3568281771924315,-3.050522852807568,False,True
b0047,kefC,kefC;trkC,K(+) : H(+) antiporter KefC,Inorganic ion transport and metabolism,YfeD,P03819,47769,49631,+,False,False,True,True,True,True,False,False,False,3.5,,True,True,4.497581779,4.044100623,0.6034350289322273,False,4.044100623,0.4070113509592792,3.1117527454000005,3.669944469087144,6.035890059,1.694571333,4.0365403300918965,-0.3743219705304452,4.341318726,1.9917894359999995,-2.3495292900000004,False,True
b0048,folA,folA;tmrA,dihydrofolate reductase,Coenzyme transport and metabolism,"RpoD,IHF,TyrR,ppGpp",P0ABQ4,49823,50302,+,True,False,True,True,True,True,False,False,True,238.0,246.0,True,True,6.7339129395,6.533976666,0.5607364292040021,False,6.533976666,0.37821154000000146,5.503655650810602,6.061152899417989,8.507994387157186,4.089641182,6.425102484747582,-0.6566354105499762,4.418353205157186,1.9740177211571863,-2.444335484,False,False
b0049,apaH,apaH,diadenosine tetraphosphatase,Signal transduction mechanisms,"RpoE,Fis",P05637,50380,51222,-,False,False,True,True,True,True,False,False,False,41.5,,True,True,6.3336883645,5.716052741,0.5765662309470001,False,5.716052741,0.38888859500000006,5.0045365237852835,5.337168458000001,7.836513828958213,3.6659132346816654,5.728669400153443,0.05250052494889416,4.170600594276548,2.120461087958213,-2.050139506318335,False,True
b0050,apaG,apaG,DUF525 domain-containing protein ApaG,Inorganic ion transport and metabolism,"RpoE,Fis",P62672,51229,51606,-,False,False,False,False,True,True,False,True,False,17.0,,True,True,6.945484136499999,7.160799502000001,0.6045908659823044,False,7.160799502000001,0.40779095236901686,6.559566544361124,6.8283531125,9.628983793829883,5.459471291,7.249197212014352,0.4108197058161914,4.169512502829884,2.468184291829883,-1.7013282110000008,False,True
b0051,rsmA,rsmA;ksgA,16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase,"Translation, ribosomal structure and biogenesis","RpoE,Fis",P06992,51609,52430,-,False,True,False,True,True,True,False,False,True,136.0,221.0,True,True,7.7205442575,7.405489566896454,0.4875160901412836,False,7.405489566896454,0.32882509789645464,6.837471276,7.0887307505,9.094327745095637,5.46414055653357,7.415809725278157,-0.06587642022022505,3.6301871885620667,1.6888381781991821,-1.9413490103628845,False,True
b0052,pdxA,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,"RpoE,Fis,GlaR",P19624,52427,53416,-,False,True,True,True,True,True,False,False,True,156.0,123.0,True,True,7.476204783500001,6.661087816,0.4681364118983982,False,6.661087816,0.3157536839999988,6.0174606238,6.374361728,8.58564573970358,4.1942793396377365,6.671780669202899,-0.43598968197490806,4.391366400065843,1.9245579237035795,-2.4668084763622637,False,True
b0053,surA,surA,peptidyl-prolyl cis-trans isomerase SurA,"Post-translational modification, protein turnover,and chaperones",RpoE,P0ABZ6,53416,54702,-,False,False,False,True,True,True,False,False,True,1188.0,1030.0,True,True,8.6814523625,8.262809092000001,0.258158396617803,False,8.262809092000001,0.17412545300000204,7.901243024600001,8.088825332999999,9.364928357838652,6.154557199,8.251362747341759,-1.3489174432541222,3.210371158838652,1.1021192658386507,-2.108251893000001,False,True
b0054,lptD,lptD;imp;ostA;yabG,lipopolysaccharide assembly protein LptD,Cell wall/membrane/envelope biogenesis,"RpoD,YcjW,RpoE",P31554,54755,57109,-,True,False,True,False,True,True,False,False,True,373.0,1028.0,True,True,8.575389492500001,8.455359385,0.3249302987783999,False,8.455359385,0.21916248399999994,7.9703143156,8.208085238,9.751657037418404,6.526868915,8.404580543991232,-0.9581667847164154,3.2247881224184045,1.2962976524184047,-1.9284904699999998,False,True
b0055,djlA,djlA;yabH,co-chaperone protein DjlA,"Post-translational modification, protein turnover,and chaperones",,P31680,57364,58179,+,False,False,False,False,True,True,False,False,True,26.5,161.0,True,True,5.764138332,5.59722025,0.3812142307175995,False,5.59722025,0.2571254759999997,5.0447671026,5.338214614,7.180150342780777,3.962813554,5.593838374572924,0.06409040198657844,3.2173367887807776,1.582930092780777,-1.6344066960000005,False,False
b0056,yabP,,putative uncharacterized protein YabP,Function unknown,,UPI000013A00F,58474,59124,+,False,False,False,False,False,False,False,True,False,,,False,True,5.412594026000001,5.887044773,0.6315082660740017,False,5.8795272372498895,0.4216366472488282,,,7.169911007228564,3.345931664,5.821428286019976,-0.5585212695499028,3.8239793432285643,1.2903837699786749,-2.5335955732498894,False,False
b0057,yabQ,,protein YabQ,No COG annotation,Lrp,UPI000013A010,59121,59279,+,True,False,False,False,False,False,False,True,False,,,False,True,5.4706689005,6.213217731,1.0104686364645263,False,6.212387399,0.6929806615152456,,,8.401577,2.673439485,6.217570150711961,-0.22853788452125828,5.728137515,2.189189601,-3.538947914,False,False
b0058,rluA,rluA;yabO,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis","RpoD,ppGpp",P0AA37,59687,60346,-,False,True,False,True,True,True,False,False,False,,,False,True,5.5991181045000005,5.449215004849472,0.6796849013922236,True,5.449215004849472,0.4584411853448156,4.613180340003968,5.047006096736091,8.221507998,2.238451364,5.470294834765107,-0.26983822894911835,5.983056634,2.7722929931505282,-3.2107636408494717,False,False
b0059,rapA,rapA;hepA;yabA,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,"RpoD,RpoH,ppGpp",P60240,60358,63264,-,False,False,False,False,True,True,False,False,True,82.0,780.0,True,True,6.228164242,5.664118725,0.7415606840753997,False,5.664118725,0.5001758289999998,4.8542084186,5.224053894,8.409386368,1.978429443,5.690040998193843,-0.3645412767975012,6.430956925,2.745267643,-3.685689282,False,True
b0060,polB,polB;dinA,DNA polymerase II,"Replication, recombination and repair","RpoD,LexA",P21189,63429,65780,-,False,False,False,False,True,True,False,False,False,,,False,True,4.142933277999999,4.041175622,0.5996347856771996,True,4.041175622,0.4044481219999998,3.2604152104,3.6511958895000003,7.177652294,2.475230961,4.119148311350548,1.0050302743517077,4.702421333,3.1364766719999997,-1.565944661,False,False
b0061,araD,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",P08203,65855,66550,-,False,False,True,True,False,True,False,False,False,,,False,True,2.0865462435,1.55748232,0.8555005548894001,True,1.578320678,0.5611535319999998,,,10.39151139,0.0,1.6126943324648797,1.8809458631531009,10.39151139,8.813190711999999,-1.578320678,True,True
b0062,araA,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",P08202,66835,68337,-,False,False,True,True,False,True,False,False,False,,,False,True,2.076401756,2.009838965,1.06410864777,True,2.047935675,0.6872822920000001,,,11.00536082,0.0,1.9728794728254915,1.0034454801910642,11.00536082,8.957425145,-2.047935675,False,True
b0063,araB,araB,ribulokinase,Nucleotide transport and metabolism,"RpoD,AraC,Crp",P08204,68348,70048,-,False,False,True,True,False,True,False,False,False,,,False,True,1.745985316,1.392206855,1.0724409887562,True,1.406799891,0.695863465,,,10.60989218,0.0,1.5103420004161736,1.734656614776979,10.60989218,9.203092288999999,-1.406799891,True,True
b0064,araC,araC,DNA-binding transcriptional dual regulator AraC,Transcription,"RpoD,AraC,XylR,Crp",P0A9E0,70387,71265,+,False,False,False,False,False,True,False,False,False,,,False,True,5.3104487165,5.493642905,0.802830847983305,False,5.504470795086156,0.5197791529138431,,,8.461569596,0.64358209,5.43534376713673,-0.6240943237237081,7.817987506000001,2.957098800913844,-4.860888705086157,False,False
b0065,yabI,yabI,DedA family protein YabI,Function unknown,"YeiE,RpoS,ppGpp",P30149,71351,72115,+,False,False,False,False,False,True,False,True,False,,,False,True,4.458300621999999,4.91702974,0.6230635588338005,False,4.94192525,0.40126641600000035,,,7.978537875,3.2812128310000004,5.055303018396941,0.6288890749259068,4.697325043999999,3.036612625,-1.6607124189999993,False,False
