BNUM,GENE_NAME
b3736,atpF
b3736,papF
b3736,uncF
b3736,ECK3729
b3736,EG10103
b3733,atpG
b3733,uncG
b3733,papC
b3733,EG10104
b3733,ECK3726
b3735,atpH
b3735,EG10105
b3735,ECK3728
b3735,uncH
b3735,papE
b3739,atpI
b3739,ECK3732
b3739,uncI
b3739,EG10106
b3572,avtA
b3572,EG10107
b3572,ECK3561
b2480,bcp
b2480,EG10108
b2480,ECK2476
b0311,betA
b0311,EG10109
b0311,ECK0309
b0312,betB
b0312,EG10110
b0312,ECK0310
b0313,betI
b0313,ECK0311
b0313,EG10111
b0314,betT
b0314,EG10112
b0314,ECK0312
b3336,bfr
b3336,ECK3323
b3336,EG10113
b3721,bglB
b3721,blgA
b3721,EG10114
b3721,ECK3714
b3722,bglF
b3722,bglS
b3722,ECK3715
b3722,EG10115
b3723,bglG
b3723,ECK3716
b3723,EG10116
b3723,bglC
b0774,bioA
b0774,ECK0763
b0774,EG10117
b0775,bioB
b0775,EG10118
b0775,ECK0764
b0777,bioC
b0777,ECK0766
b0777,EG10119
b0778,bioD
b0778,ECK0767
b0778,EG10120
b0776,bioF
b0776,ECK0765
b0776,EG10121
b3412,bioH
b3412,bioB
b3412,ECK3399
b3412,EG10122
b3973,birA
b3973,ECK3965
b3973,bioR
b3973,dhbB
b3973,EG10123
b3551,bisC
b3551,ECK3538
b3551,EG10124
b0435,bolA
b0435,ECK0429
b0435,EG10125
b3966,btuB
b3966,EG10126
b3966,ECK3958
b3966,cer
b3966,bfe
b1711,btuC
b1711,ECK1709
b1711,EG10127
b1709,btuD
b1709,ECK1707
b1709,EG10128
b1710,btuE
b1710,ECK1708
b1710,EG10129
b1270,btuR
b1270,cobA
b1270,EG10130
b1270,ECK1264
b4131,cadA
b4131,ECK4125
b4131,ldcI
b4131,EG10131
b4132,cadB
b4132,EG10132
b4132,ECK4126
b4133,cadC
b4133,ECK4127
b4133,EG10133
b0032,carA
b0032,EG10134
b0032,cap
b0032,arg
b0032,ECK0033
b0032,pyrA
b0033,carB
b0033,EG10135
b0033,cap
b0033,ECK0034
b0033,pyrA
b3056,cca
b3056,ECK3046
b3056,EG10136
b2143,cdd
b2143,ECK2136
b2143,EG10137
b3918,cdh
b3918,ECK3910
b3918,EG10138
b0175,cdsA
b0175,EG10139
b0175,cds
b0175,ECK0174
b1738,chbB
b1738,EG10140
b1738,celA
b1738,ECK1736
b1737,chbC
b1737,ECK1735
b1737,EG10141
b1737,hic
b1737,celB
b1736,chbA
b1736,EG10142
b1736,celC
b1736,ECK1734
b1735,chbR
b1735,ECK1733
b1735,EG10143
b1735,celD
b1734,chbF
b1734,ydjD
b1734,celF
b1734,ECK1732
b1734,EG10144
b4400,creD
b4400,refII
b4400,ECK4392
b4400,EG10145
b4400,cet
b1888,cheA
b1888,EG10146
b1888,ECK1889
b1883,cheB
b1883,ECK1884
b1883,EG10147
b1884,cheR
b1884,ECK1885
b1884,cheX
b1884,EG10148
b1887,cheW
b1887,ECK1888
b1887,EG10149
b1882,cheY
b1882,EG10150
b1882,ECK1883
b1881,cheZ
b1881,EG10151
b1881,ECK1882
b0765,modC
b0765,ECK0754
b0765,chlD
b0765,narD
b0765,EG10152
b0827,moeA
b0827,bisB
b0827,chlE
b0827,narE
b0827,EG10153
b0827,ECK0817
b0826,moeB
b0826,EG10154
b0826,ECK0816
b0826,chlN
b2155,cirA
b2155,EG10155
b2155,ECK2148
b2155,cir
b2155,feuA
b0882,clpA
b0882,EG10156
b0882,ECK0873
b0882,lopD
b2592,clpB
b2592,htpM
b2592,EG10157
b2592,ECK2590
b0437,clpP
b0437,lopP
b0437,ECK0431
b0437,EG10158
b0438,clpX
b0438,ECK0432
b0438,EG10159
b0438,lopC
b4213,cpdB
b4213,EG10160
b4213,ECK4209
b2049,cpsB
b2049,EG10161
b2049,ECK2043
b2049,mni
b2049,manC
b2049,rfbM
b2048,cpsG
b2048,rfbK
b2048,EG10162
b2048,ECK2042
b2048,manB
b3911,cpxA
b3911,ecfB
b3911,rssE
b3911,ecf
b3911,EG10163
b3911,ssd
b3911,eup
b3911,ECK3904
b3357,crp
b3357,cap
b3357,csm
b3357,gurB
b3357,EG10164
b3357,ECK3345
b2417,crr
b2417,tgs
b2417,EG10165
b2417,ECK2412
b2417,iex
b2417,gsr
b2417,treD
b3556,cspA
b3556,EG10166
b3556,ECK3543
b0598,cstA
b0598,ECK0591
b0598,ybdC
b0598,EG10167
b0657,lnt
b0657,ECK0649
b0657,EG10168
b0657,cutE
b2313,cvpA
b2313,EG10169
b2313,dedE
b2313,ECK2307
b3806,cyaA
b3806,ECK3800
b3806,cya
b3806,EG10170
b1418,cybB
b1418,ECK1410
b1418,EG10172
b0733,cydA
b0733,cyd-1
b0733,ECK0721
b0733,EG10173
b0734,cydB
b0734,EG10174
b0734,ECK0722
b0734,cyd-2
b0340,cynS
b0340,EG10175
b0340,ECK0337
b0340,cyaN
b0340,cnt
b0339,cynT
b0339,EG10176
b0339,ECK0336
b0341,cynX
b0341,EG10177
b0341,ECK0338
b0432,cyoA
b0432,ECK0426
b0432,EG10178
b0431,cyoB
b0431,EG10179
b0431,ECK0425
b0430,cyoC
b0430,ECK0424
b0430,EG10180
b0429,cyoD
b0429,EG10181
b0429,ECK0423
b0428,cyoE
b0428,ECK0422
b0428,EG10182
b2422,cysA
b2422,EG10183
b2422,ECK2417
b1275,cysB
b1275,ECK1269
b1275,EG10184
b2750,cysC
b2750,ECK2745
b2750,EG10185
b2752,cysD
b2752,EG10186
b2752,ECK2747
b3607,cysE
b3607,EG10187
b3607,ECK3597
b3368,cysG
b3368,ECK3356
b3368,EG10188
b2762,cysH
b2762,EG10189
b2762,ECK2757
b2763,cysI
b2763,ECK2758
b2763,EG10190
b2764,cysJ
b2764,ECK2759
b2764,EG10191
b2414,cysK
b2414,ssi5
b2414,ECK2409
b2414,EG10192
b2421,cysM
b2421,EG10193
b2421,ECK2416
b2751,cysN
b2751,ECK2746
b2751,EG10194
b2425,cysP
b2425,EG10195
b2425,ECK2420
b0526,cysS
b0526,ECK0519
b0526,EG10196
b0526,syc
b2424,cysU
b2424,cysT
b2424,EG10197
b2424,ECK2419
b2423,cysW
b2423,EG10198
b2423,ECK2418
b3934,cytR
b3934,EG10200
b3934,ECK3926
b0632,dacA
b0632,pfv
b0632,EG10201
b0632,ECK0625
b3182,dacB
b3182,ECK3171
b3182,EG10202
b0839,dacC
b0839,ECK0829
b0839,EG10203
b3387,dam
b3387,EG10204
b3387,ECK3374
b2478,dapA
b2478,ECK2474
b2478,EG10205
b0031,dapB
b0031,EG10206
b0031,ECK0032
b0166,dapD
b0166,ECK0164
b0166,EG10207
b0166,ssa
b2472,dapE
b2472,EG10208
b2472,ECK2467
b2472,msgB
b3809,dapF
b3809,ECK3804
b3809,EG10209
b1343,dbpA
b1343,EG10210
b1343,ECK1340
b1343,rhlC
b1961,dcm
b1961,mec
b1961,EG10211
b1961,ECK1959
b1538,dcp
b1538,EG10212
b1538,ECK1531
b0381,ddlA
b0381,EG10213
b0381,ECK0376
b0092,ddlB
b0092,ddl
b0092,EG10214
b0092,ECK0093
b3162,deaD
b3162,ECK3150
b3162,rhlD
b3162,mssB
b3162,csdA
b3162,EG10215
b2317,dedA
b2317,ECK2311
b2317,EG10216
b2316,accD
b2316,usg
b2316,dedB
b2316,ECK2310
b2316,EG10217
b2314,dedD
b2314,EG10218
b2314,ECK2308
b4382,deoA
b4382,TP
b4382,EG10219
b4382,ttg
b4382,tpp
b4382,ECK4374
b4383,deoB
b4383,drm
b4383,tlr
b4383,thyR
b4383,ECK4375
b4383,EG10220
b4381,deoC
b4381,thyR
b4381,dra
b4381,tlr
b4381,ECK4373
b4381,EG10221
b4384,deoD
b4384,EG10222
b4384,ECK4376
b4384,pup
b0840,deoR
b0840,nucR
b0840,EG10223
b0840,ECK0830
b4042,dgkA
b4042,EG10224
b4042,ECK4034
b0160,dgt
b0160,ECK0159
b0160,optA
b0160,EG10225
b1570,dicA
b1570,EG10226
b1570,ftsT
b1570,ECK1564
b1575,dicB
b1575,EG10227
b1575,ECK1569
b1575,ftsT
b1569,dicC
b1569,ECK1563
b1569,EG10228
b1569,ftsT
b2321,flk
b2321,ECK2315
b2321,EG10229
b2321,div
b0145,dksA
b0145,msmA
b0145,ECK0144
b0145,EG10230
b2133,dld
b2133,ECK2126
b2133,EG10231
b2133,ldh
b0894,dmsA
b0894,ECK0885
b0894,EG10232
b0895,dmsB
b0895,EG10233
b0895,ECK0886
b0896,dmsC
b0896,ECK0887
b0896,EG10234
b3702,dnaA
b3702,ECK3694
b3702,EG10235
b4052,dnaB
b4052,grpA
b4052,groP
b4052,EG10236
b4052,ECK4044
b4052,grpD
b4361,dnaC
b4361,ECK4351
b4361,EG10237
b4361,dnaD
b0184,dnaE
b0184,sdgC
b0184,polC
b0184,EG10238
b0184,ECK0183
b3066,dnaG
b3066,EG10239
b3066,ECK3056
b3066,dnaP
b3066,parB
b3066,sdgA
b0015,dnaJ
b0015,EG10240
b0015,grpC
b0015,ECK0015
b0015,groP
b0014,dnaK
b0014,groPAB
b0014,grpC
b0014,EG10241
b0014,ECK0014
b0014,grpF
b0014,groPF
b0014,groPC
b0014,seg
b3701,dnaN
b3701,EG10242
b3701,ECK3693
b0215,dnaQ
b0215,ECK0215
b0215,mutD
b0215,EG10243
b4362,dnaT
b4362,ECK4352
b4362,EG10244
b0470,dnaX
b0470,dnaZ
b0470,ECK0464
b0470,EG10245
b0211,mltD
b0211,yafG
b0211,dniR
b0211,EG10246
b0211,ECK0211
b2563,acpS
b2563,dpj
b2563,ECK2561
b2563,EG10247
b3544,dppA
b3544,alu
b3544,fpp
b3544,ECK3531
b3544,dpp
b3544,EG10248
b2366,dsdA
b2366,EG10249
b2366,ECK2362
b2365,dsdX
b2365,ECK2361
b2365,dsdC
b2365,yfdA
b2365,yfdD
b2365,EG10250
b3640,dut
b3640,sof
b3640,ECK3630
b3640,EG10251
b3640,dnaS
b3076,ebgA
b3076,EG10252
b3076,ECK3066
b3077,ebgC
b3077,EG10253
b3077,ECK3067
b3075,ebgR
b3075,EG10254
b3075,ECK3065
b2209,eco
b2209,ECK2201
b2209,EG10255
b2209,eti
b1850,eda
b1850,hga
b1850,kdgA
b1850,EG10256
b1850,ECK1851
b1850,kga
b1851,edd
b1851,ECK1852
b1851,EG10257
b2779,eno
b2779,EG10258
b2779,ECK2773
b0596,entA
b0596,EG10259
b0596,ECK0589
b0595,entB
b0595,ECK0588
b0595,entG
b0595,EG10260
b0593,entC
b0593,EG10261
b0593,ECK0586
b0593,fepF
b0583,entD
b0583,ECK0575
b0583,EG10262
b0594,entE
b0594,ECK0587
b0594,EG10263
b0586,entF
b0586,ECK0579
b0586,EG10264
b0096,lpxC
b0096,asmB
b0096,envA
b0096,EG10265
b0096,ECK0097
b3265,acrE
b3265,envC
b3265,ECK3252
b3265,EG10266
b3266,acrF
b3266,envD
b3266,EG10267
b3266,ECK3253
b0566,envY
b0566,ECK0558
b0566,EG10268
b3404,envZ
b3404,tpo
b3404,perA
b3404,ompB
b3404,EG10269
b3404,ECK3391
b2566,era
b2566,rbaA
b2566,sdgE
b2566,ECK2564
b2566,EG10270
b3006,exbB
b3006,ECK2999
b3006,EG10271
b3005,exbD
b3005,EG10272
b3005,ECK2998
b0954,fabA
b0954,EG10273
b0954,ECK0945
b2323,fabB
b2323,fabC
b2323,ECK2317
b2323,EG10274
b3255,accB
b3255,ECK3242
b3255,EG10275
b3255,fabE
b3256,accC
b3256,fabG
b3256,EG10276
b3256,ECK3243
b1091,fabH
b1091,EG10277
b1091,ECK1077
b3845,fadA
b3845,oldA
b3845,EG10278
b3845,ECK3837
b3846,fadB
b3846,ECK3838
b3846,EG10279
b3846,oldB
b2344,fadL
b2344,ECK2338
b2344,EG10280
b2344,ttr
b1187,fadR
b1187,dec
b1187,ole
b1187,EG10281
b1187,ECK1175
b1187,thdB
b1187,oleR
b2925,fbaA
b2925,ECK2921
b2925,fba
b2925,ald
b2925,EG10282
b2925,fda
b4232,fbp
b4232,fdp
b4232,ECK4227
b4232,EG10283
b3891,fdhE
b3891,ECK3884
b3891,EG10284
b4079,fdhF
b4079,EG10285
b4079,ECK4072
b4079,chlF
b4291,fecA
b4291,EG10286
b4291,ECK4281
b4290,fecB
b4290,EG10287
b4290,ECK4280
b4289,fecC
b4289,ECK4279
b4289,EG10288
b4288,fecD
b4288,ECK4278
b4288,EG10289
b4287,fecE
b4287,ECK4277
b4287,EG10290
b4293,fecI
b4293,ECK4283
b4293,EG10291
b4292,fecR
b4292,EG10292
b4292,ECK4282
b0584,fepA
b0584,ECK0576
b0584,EG10293
b0584,fep
b0584,cbr
b0584,feuB
b0584,cbt
b0592,fepB
b0592,ECK0585
b0592,EG10294
b0588,fepC
b0588,ECK0581
b0588,EG10295
b0590,fepD
b0590,ECK0583
b0590,EG10296
b0587,fepE
b0587,EG10297
b0587,ECK0580
b0589,fepG
b0589,ECK0582
b0589,EG10298
b0585,fes
b0585,EG10299
b0585,ECK0577
b2610,ffh
b2610,EG10300
b2610,ECK2607
b2731,fhlA
b2731,EG10301
b2731,ECK2726
b2731,fhl
b0150,fhuA
b0150,EG10302
b0150,ECK0149
b0150,tonA
b0150,T5rec
b0150,T1
b0153,fhuB
b0153,ECK0152
b0153,EG10303
b0151,fhuC
b0151,EG10304
b0151,ECK0150
b0152,fhuD
b0152,EG10305
b0152,ECK0151
b1102,fhuE
b1102,EG10306
b1102,ECK1088
b3361,fic
b3361,ficT
b3361,ECK3349
b3361,EG10307
b4314,fimA
b4314,ECK4305
b4314,EG10308
b4314,pilA
b4314,fimD
b4312,fimB
b4312,pil
b4312,ECK4303
b4312,EG10309
b4316,fimC
b4316,ECK4307
b4316,EG10310
b4316,pilB
b4317,fimD
b4317,ECK4308
b4317,EG10311
b4317,fimD_2
b4317,fimD_1
b4313,fimE
b4313,EG10312
b4313,ECK4304
b4313,pilH
b4313,hyp
b4318,fimF
b4318,EG10313
b4318,ECK4309
b4319,fimG
b4319,EG10314
b4319,ECK4310
b4320,fimH
b4320,pilE
b4320,ECK4311
b4320,EG10315
b0179,lpxD
b0179,ECK0178
b0179,firA
b0179,omsA
b0179,EG10316
b3261,fis
b3261,nbp
b3261,ECK3248
b3261,EG10317
b0684,fldA
b0684,ECK0672
b0684,EG10318
b1891,flhC
b1891,ECK1892
b1891,flaI
b1891,EG10319
b1892,flhD
b1892,ECK1893
b1892,flbB
b1892,EG10320
b1923,fliC
b1923,flaF
b1923,EG10321
b1923,ECK1922
b1923,hag
b1923,H
b1944,fliL
b1944,flaAI
b1944,flaQI
b1944,cheC1
b1944,EG10322
b1944,ECK1942
b1945,fliM
b1945,flaQ
b1945,fla
b1945,flaQII
b1945,flaAII
b1945,cheC2
b1945,ECK1943
b1945,EG10323
b1945,flaA
b1946,fliN
b1946,motD
b1946,ECK1944
b1946,EG10324
b1334,fnr
b1334,EG10325
b1334,ECK1330
b1334,nirA
b1334,ossA
b1334,oxrA
b1334,nirR
b0048,folA
b0048,ECK0049
b0048,EG10326
b0048,tmrA
b0048,tmr
b2315,folC
b2315,EG10327
b2315,dedC
b2315,ECK2309
b0529,folD
b0529,EG10328
b0529,ECK0522
b0529,ads
b3635,mutM
b3635,ECK3625
b3635,fpg
b3635,EG10329
b4154,frdA
b4154,ECK4150
b4154,EG10330
b4153,frdB
b4153,EG10331
b4153,ECK4149
b4152,frdC
b4152,ECK4148
b4152,EG10332
b4151,frdD
b4151,EG10333
b4151,ECK4147
b3844,fre
b3844,EG10334
b3844,fadI
b3844,flrD
b3844,ECK3836
b3844,fsrC
b0172,frr
b0172,rrf
b0172,ECK0171
b0172,EG10335
b2167,fruA
b2167,ECK2160
b2167,ptsF
b2167,EG10336
b2168,fruK
b2168,ECK2161
b2168,EG10337
b2168,fpk
b0080,cra
b0080,shl
b0080,EG10338
b0080,ECK0081
b0080,fruC
b0080,fruR
b0094,ftsA
b0094,EG10339
b0094,ECK0095
b0094,divA
b3463,ftsE
b3463,ECK3447
b3463,EG10340
b0084,ftsI
b0084,EG10341
b0084,ECK0085
b0084,sep
b0084,pbpB
b0093,ftsQ
b0093,ECK0094
b0093,EG10342
b3465,rsmD
b3465,EG10343
b3465,ECK3449
b3465,yhhF
b0089,ftsW
b0089,EG10344
b0089,ECK0090
b3462,ftsX
b3462,ECK3446
b3462,ftsS
b3462,EG10345
b3464,ftsY
b3464,ECK3448
b3464,EG10346
b0095,ftsZ
b0095,EG10347
b0095,sulB
b0095,ECK0096
b0095,sfiB
b2800,fucA
b2800,fucC
b2800,prd
b2800,EG10348
b2800,ECK2795
b2802,fucI
b2802,ECK2797
b2802,EG10349
b2803,fucK
b2803,ECK2798
b2803,EG10350
b2799,fucO
b2799,EG10351
b2799,ECK2794
b2801,fucP
b2801,EG10352
b2801,ECK2796
b2805,fucR
b2805,EG10353
b2805,ECK2800
b2804,fucU
b2804,EG10355
b2804,ECK2799
b1612,fumA
b1612,ECK1607
b1612,EG10356
b4122,fumB
b4122,ECK4115
b4122,EG10357
b1611,fumC
b1611,ECK1606
b1611,EG10358
b0683,fur
b0683,ECK0671
b0683,EG10359
b3340,fusA
b3340,ECK3327
b3340,EG10360
b3340,far
b3340,fus
b2662,gabT
b2662,ECK2656
b2662,EG10361
b0759,galE
b0759,ECK0748
b0759,galD
b0759,EG10362
b0757,galK
b0757,ECK0746
b0757,EG10363
b0757,galA
b2837,galR
b2837,ECK2835
b2837,Rgal
b2837,EG10364
b2151,galS
b2151,ECK2144
b2151,mglD
b2151,EG10365
b0758,galT
b0758,galB
b0758,ECK0747
b0758,EG10366
b1779,gapA
b1779,ECK1777
b1779,EG10367
b1779,gad
b1779,gap1
b2927,epd
b2927,EG10368
b2927,gapB
b2927,gap2
b2927,ECK2923
b0124,gcd
b0124,EG10369
b0124,ECK0123
b2515,ispG
b2515,EG10370
b2515,ECK2511
b2515,gcpE
b2904,gcvH
b2904,EG10371
b2904,ECK2899
b2904,gcv
b1761,gdhA
b1761,ECK1759
b1761,EG10372
b0018,mokC
b0018,gefL
b0018,EG10373
b0018,ECK0018
b3447,ggt
b3447,ECK3431
b3447,EG10374
b3741,mnmG
b3741,trmF
b3741,ECK3734
b3741,gidA
b3741,EG10375
b3740,rsmG
b3740,ECK3733
b3740,gidB
b3740,EG10376
b3429,glgA
b3429,ECK3415
b3429,EG10377
b3432,glgB
b3432,EG10378
b3432,ECK3418
b3430,glgC
b3430,ECK3416
b3430,EG10379
b3428,glgP
b3428,ECK3414
b3428,glgY
b3428,EG10380
b3431,glgX
b3431,EG10381
b3431,ECK3417
b3729,glmS
b3729,EG10382
b3729,ECK3722
b3870,glnA
b3870,EG10383
b3870,ECK3863
b2553,glnB
b2553,EG10384
b2553,ECK2550
b3868,glnG
b3868,ECK3861
b3868,EG10385
b3868,ntrC
b3868,glnT
b0811,glnH
b0811,EG10386
b0811,ECK0800
b3869,glnL
b3869,glnR
b3869,EG10387
b3869,ECK3862
b3869,ntrB
b0810,glnP
b0810,ECK0799
b0810,EG10388
b0809,glnQ
b0809,ECK0798
b0809,EG10389
b0680,glnS
b0680,ECK0668
b0680,EG10390
b2241,glpA
b2241,ECK2233
b2241,EG10391
b2242,glpB
b2242,psi-51
b2242,ECK2234
b2242,EG10392
b2243,glpC
b2243,EG10393
b2243,ECK2235
b3426,glpD
b3426,EG10394
b3426,ECK3412
b3426,glyD
b3425,glpE
b3425,EG10395
b3425,ECK3411
b3927,glpF
b3927,EG10396
b3927,ECK3919
b3424,glpG
b3424,EG10397
b3424,ECK3410
b3926,glpK
b3926,EG10398
b3926,ECK3918
b2239,glpQ
b2239,EG10399
b2239,ECK2231
b3423,glpR
b3423,EG10400
b3423,ECK3409
b2240,glpT
b2240,EG10401
b2240,ECK2232
b0720,gltA
b0720,EG10402
b0720,ECK0709
b0720,icdB
b0720,gluT
b3212,gltB
b3212,psiQ
b3212,EG10403
b3212,ECK3202
b3212,aspB
b3212,ossB
b3213,gltD
b3213,ossB
b3213,aspB
b3213,ECK3203
b3213,EG10404
b3213,psiQ
b4077,gltP
b4077,ECK4070
b4077,EG10405
b3653,gltS
b3653,gltC
b3653,ECK3643
b3653,EG10406
b2400,gltX
b2400,ECK2394
b2400,gluRS
b2400,EG10407
b2400,gltM
b2551,glyA
b2551,ECK2548
b2551,EG10408
b3560,glyQ
b3560,EG10409
b3560,cfcA
b3560,glyS(A)
b3560,ECK3548
b3559,glyS
b3559,gly-act
b3559,ECK3547
b3559,gly
b3559,EG10410
b3559,glyS(B)
b2029,gnd
b2029,ECK2024
b2029,EG10411
b3500,gor
b3500,gorA
b3500,EG10412
b3500,ECK3485
b3779,gpp
b3779,gppA
b3779,EG10413
b3779,ECK3771
b0238,gpt
b0238,ECK0239
b0238,gxu
b0238,gpp
b0238,glyD
b0238,EG10414
b3181,greA
b3181,ECK3170
b3181,EG10415
b2614,grpE
b2614,EG10416
b2614,ECK2610
b0849,grxA
b0849,EG10417
b0849,grx
b0849,ECK0840
b2688,gshA
b2688,ECK2683
b2688,EG10418
b2688,gsh-I
b2947,gshB
b2947,EG10419
b2947,ECK2942
b2947,gsh-II
b2507,guaA
b2507,ECK2503
b2507,EG10420
b2508,guaB
b2508,EG10421
b2508,ECK2504
b2508,guaR
