locus_tag,gene_name,start,end,strand
b0438,clpX,457426,458700,1
b0439,lon,458888,461242,1
b0440,hupB,461451,461723,1
b0441,ppiD,461915,463786,1
b0442,ybaV,463937,464308,1
b0443,fadM,464402,464800,1
b0444,queC,464852,465547,-1
b0445,ybaE,465612,467312,-1
b0446,cof,467412,468230,1
b0447,decR,468383,468841,1
b0448,mdlA,468871,470643,1
b0449,mdlB,470636,472417,1
b0450,glnK,472598,472936,1
b0451,amtB,472966,474252,1
b0452,tesB,474301,475161,-1
b0453,ybaY,475379,475951,1
b0454,atl,475982,476371,-1
b0456,ybaA,476672,477025,1
b0457,pdeB,477067,478617,-1
b0458,ylaC,478781,479251,-1
b0459,maa,479367,479918,-1
b0460,hha,480090,480308,-1
b0461,tomB,480334,480708,-1
b0462,acrB,481254,484403,-1
b0463,acrA,484426,485619,-1
b0464,acrR,485761,486408,1
b0465,mscK,486536,489898,1
b0466,ybaM,490110,490271,-1
b0467,priC,490285,490812,-1
b0468,ybaN,490882,491259,1
b0469,apt,491412,491963,1
b0470,dnaX,492092,494023,1
b0471,ybaB,494076,494405,1
b0472,recR,494405,495010,1
b0473,htpG,495120,496994,1
b0474,adk,497175,497819,1
b0475,hemH,498055,499017,1
b0476,aes,499014,499973,-1
b0477,gsk,500125,501429,1
b0478,ybaL,501562,503238,-1
b0479,fsr,503476,504696,-1
b0480,ushA,504914,506566,1
b0481,ybaK,506603,507082,-1
b0482,ybaP,507286,508080,-1
b0483,ybaQ,508218,508559,1
b0484,copA,508875,511379,-1
b0485,glsA,511641,512573,1
b0486,ybaT,512576,513868,1
b0487,cueR,513993,514400,1
b0488,ybbJ,514401,514859,-1
b0489,qmcA,514856,515773,-1
b0490,fetA,515919,516596,1
b0491,fetB,516583,517362,1
b0492,cnoX,517425,518279,-1
b0493,ybbO,518340,519149,-1
b0494,tesA,519139,519765,-1
b0495,ybbA,519733,520419,1
b0496,ybbP,520416,522830,1
b0497,rhsD,523261,527541,1
b0498,ybbC,527581,527949,1
b0499,ylbH,527949,528659,1
b0501,ybbD,528640,529130,1
b4632,ylbI,529497,529592,1
b0502,ylbG,529645,530016,-1
b0503,selU,530132,531226,-1
b0504,allS,531295,532221,-1
b0505,allA,532451,532933,1
b0506,allR,533011,533826,1
b0507,gcl,533916,535697,1
b0508,hyi,535710,536486,1
b0509,glxR,536586,537464,1
b0511,ybbW,537633,539087,1
b0512,allB,539147,540508,1
b0513,ybbY,540565,541866,1
b0514,glxK,541888,543033,1
b0515,allE,543261,544046,-1
b0516,allC,544057,545292,-1
b0517,allD,545314,546363,-1
b0518,fdrA,546680,548347,1
b4572,ylbE,548357,549616,1
b0520,ylbF,549627,550442,1
b0521,ybcF,550439,551332,1
b0522,purK,551527,552594,-1
b0523,purE,552591,553100,-1
b0524,lpxH,553218,553940,-1
b0525,ppiB,553943,554437,-1
b0526,cysS,554611,555996,1
b0527,ybcI,556032,556553,-1
b0528,ybcJ,556661,556873,-1
b0529,folD,556875,557741,-1
b0530,sfmA,558212,558754,1
b0531,sfmC,558974,559666,1
b0532,sfmD,559697,562300,1
b0533,sfmH,562336,563319,1
b0534,sfmF,563330,563845,1
b0535,fimZ,563848,564480,-1
b0537,intD,564815,565978,-1
b4633,xisD,565858,566079,-1
b0539,exoD,566098,566361,-1
b0542,renD,566684,566776,1
b0540,insE-3,566842,567141,1
b0541,insF-3,567138,568004,1
b0543,emrE,568315,568647,1
b4733,ylcJ,568695,568844,1
b0544,ybcK,568902,570428,1
b0545,ybcL,570893,571444,1
b0546,ybcM,571454,572251,1
b4588,ylcH,572368,572469,1
b0547,ybcN,572466,572921,1
b0548,ninE,572921,573091,1
b0549,ybcO,573084,573374,1
b0550,rusA,573371,573733,1
b4509,ylcG,573730,573870,1
b0551,ybcQ,573956,574339,1
b0553,nmpC,574529,574586,-1
b0552,insH-2,574737,575753,-1
b0554,essD,577398,577613,1
b0555,rrrD,577613,578110,1
b0556,rzpD,578107,578568,1
b4510,rzoD,578327,578509,1
b0557,borD,578600,578893,-1
b0558,ybcV,579184,579594,-1
b0559,ybcW,579880,580086,1
b4589,ylcI,580251,580445,-1
b0560,nohD,580834,581379,1
b4634,aaaD,581354,581662,1
b0561,tfaD,581534,582097,1
b0562,ybcY,582152,582806,-1
b0563,tfaX,582875,583060,1
b0564,appY,583681,584430,1
b0565,ompT,584680,585633,-1
b0566,envY,586147,586908,-1
b0567,ybcH,587091,587981,-1
b0568,nfrA,587982,590954,-1
b0569,nfrB,590941,593178,-1
b0570,cusS,593328,594770,-1
b0571,cusR,594760,595443,-1
b0572,cusC,595600,596973,1
b0573,cusF,597131,597463,1
b0574,cusB,597479,598702,1
b0575,cusA,598714,601857,1
b0576,pheP,601959,603335,1
b0577,ybdG,603416,604663,-1
b0578,nfsB,604771,605424,-1
b0579,ybdF,605518,605886,-1
b0580,ybdJ,605951,606199,-1
b0581,ybdK,606265,607383,-1
b4415,hokE,607836,607988,1
b0582,insL-2,608065,609177,1
b0583,entD,609459,610079,-1
b0584,fepA,610254,612494,-1
b0585,fes,612737,613939,1
b4511,ybdZ,613942,614160,1
b0586,entF,614157,618038,1
b0587,fepE,618254,619387,1
b0588,fepC,619384,620199,-1
b0589,fepG,620196,621188,-1
b0590,fepD,621185,622189,-1
b0591,entS,622300,623550,1
b0592,fepB,623554,624510,-1
b0593,entC,624885,626060,1
b0594,entE,626070,627680,1
b0595,entB,627694,628551,1
b0596,entA,628551,629297,1
b0597,entH,629300,629713,1
b0598,cstA,629894,631999,1
b4512,ybdD,632182,632379,1
b0599,hcxA,632389,633477,-1
b0600,ybdL,633586,634746,1
b0601,ybdM,634747,635376,-1
b0602,ybdN,635349,636569,-1
b0603,ybdO,636716,637618,-1
b0604,dsbG,637827,638573,-1
b0605,ahpC,638945,639508,1
b0606,ahpF,639753,641318,1
b0607,uspG,641439,641867,-1
b0608,ybdR,642088,643326,1
b4734,yldA,643330,643419,-1
b0610,rnk,643557,643967,-1
b0611,rna,644197,645003,-1
b0612,citT,645117,646580,-1
b0613,citG,646631,647509,-1
b0614,citX,647484,648035,-1
b0615,citF,648039,649571,-1
b0616,citE,649582,650490,-1
b0617,citD,650487,650783,-1
b0618,citC,650798,651856,-1
b0619,dpiB,652235,653893,1
b0620,dpiA,653862,654542,1
b0621,dcuC,654583,655968,-1
b0622,pagP,656557,657117,1
b0623,cspE,657292,657501,1
b0624,crcB,657555,657938,-1
b4581,ybeM,658031,658818,1
b0627,tatE,658947,659150,1
b0628,lipA,659251,660216,-1
b0629,ybeF,660425,661378,-1
b0630,lipB,661637,662278,-1
b0631,ybeD,662379,662642,-1
b0632,dacA,662752,663963,-1
b0633,rlpA,664102,665190,-1
b0634,mrdB,665201,666313,-1
b0635,mrdA,666316,668217,-1
b0636,rlmH,668248,668715,-1
b0637,rsfS,668719,669036,-1
b0638,cobC,669296,669907,-1
b0639,nadD,669931,670572,-1
b0640,holA,670574,671605,-1
b0641,lptE,671605,672186,-1
b0642,leuS,672201,674783,-1
b0643,ybeL,675018,675500,1
b0644,ybeQ,675570,676547,-1
b0645,ybeR,676711,677418,1
b0646,djlB,677415,678842,1
b0647,ybeT,678852,679406,-1
b0648,ybeU,679508,680215,1
b0649,djlC,680212,681663,1
b0650,hscC,681723,683393,-1
b0651,rihA,683477,684412,-1
b0652,gltL,684530,685255,-1
b0653,gltK,685255,685929,-1
b0654,gltJ,685929,686669,-1
b0655,gltI,686839,687747,-1
b0656,insH-3,687997,689013,-1
b0657,lnt,689343,690881,-1
b0658,ybeX,690906,691784,-1
b0659,ybeY,691874,692341,-1
b0660,ybeZ,692338,693378,-1
b0661,miaB,693531,694955,-1
b0662,ubiF,695101,696276,1
b0674,asnB,697513,699177,-1
b0675,umpH,699574,700326,-1
b0676,nagC,700374,701594,-1
b0677,nagA,701603,702751,-1
b0678,nagB,702811,703611,-1
b0679,nagE,703944,705890,1
b0680,glnS,706093,707757,1
b0681,chiP,708334,709740,1
b0682,chiQ,709790,710116,1
b0683,fur,710200,710646,-1
b4637,uof,710639,710725,-1
b0684,fldA,710935,711465,-1
b0685,ybfE,711605,711898,-1
b0686,ybfF,712038,712802,-1
b0687,seqA,712987,713532,1
b0688,pgm,713558,715198,1
b0689,ybfP,715412,715906,1
b0691,ybfG,715947,716597,-1
b0692,potE,716946,718265,-1
b0693,speF,718262,720460,-1
b4590,ybfK,720583,720840,1
b0694,kdpE,721056,721733,-1
b0695,kdpD,721730,724414,-1
b0696,kdpC,724407,724979,-1
b0697,kdpB,724988,727036,-1
b0698,kdpA,727059,728732,-1
b4513,kdpF,728732,728821,-1
b0699,ybfA,729134,729340,1
b0700,rhsC,729583,733776,1
b0702,ybfB,733776,734102,1
b0703,ybfO,734220,735653,1
b0704,ybfC,735650,736219,1
b4514,ybfQ,736445,736699,1
b0705,ybfL,736900,737961,1
b0706,ybfD,738092,738853,1
b0707,ybgA,739001,739510,1
b0708,phr,739507,740925,1
b0709,dtpD,741075,742556,-1
b0710,ybgI,742827,743570,1
b0711,pxpB,743593,744249,1
b0712,pxpC,744243,745175,1
b0713,pxpA,745165,745899,1
b0714,nei,745935,746726,1
b0715,abrB,746723,747769,-1
b0716,ybgO,747921,748982,-1
b0717,ybgP,748979,749707,-1
b0718,ybgQ,749722,752169,-1
b0719,ybgD,752229,752795,-1
b0720,gltA,753185,754468,-1
b4735,ybgU,754674,754781,-1
b0721,sdhC,755177,755566,1
b0722,sdhD,755560,755907,1
b0723,sdhA,755907,757673,1
b0724,sdhB,757689,758405,1
b0726,sucA,758706,761507,1
b0727,sucB,761522,762739,1
b0728,sucC,763014,764180,1
b0729,sucD,764180,765049,1
b0730,mngR,765153,765875,-1
b0731,mngA,765984,767960,1
b0732,mngB,767978,770611,1
b0733,cydA,771458,773026,1
b0734,cydB,773042,774181,1
b4515,cydX,774196,774309,1
b0735,ybgE,774309,774602,1
b0736,ybgC,774752,775156,1
b0737,tolQ,775153,775845,1
b0738,tolR,775849,776277,1
b0739,tolA,776342,777607,1
b0740,tolB,777740,779032,1
b0741,pal,779067,779588,1
b0742,cpoB,779598,780389,1
b0750,nadA,782085,783128,1
b0751,pnuC,783166,783885,1
b0752,zitB,783882,784823,-1
b0753,ybgS,784937,785317,-1
b0754,aroG,785633,786685,1
b0755,gpmA,786843,787595,-1
b0756,galM,787797,788837,-1
b0757,galK,788831,789979,-1
b0758,galT,789983,791029,-1
b0759,galE,791039,792055,-1
b0760,modF,792316,793788,-1
b0761,modE,793856,794644,-1
b0762,acrZ,794773,794922,1
b0763,modA,795089,795862,1
b0764,modB,795862,796551,1
b0765,modC,796554,797612,1
b0766,ybhA,797613,798431,-1
b0767,pgl,798586,799581,1
b0768,ybhD,799622,800575,-1
b0769,ybhH,800759,801811,1
b0770,ybhI,801887,803320,1
b0771,ybhJ,803503,805764,1
b0772,ybhC,805998,807281,-1
b0773,ybhB,807433,807909,-1
b0774,bioA,807968,809257,-1
b0775,bioB,809344,810384,1
b0776,bioF,810381,811535,1
b0777,bioC,811522,812277,1
b0778,bioD,812270,812947,1
b0779,uvrB,813526,815547,1
b0780,ybhK,815739,816647,-1
b0781,moaA,817044,818033,1
b0782,moaB,818055,818567,1
b0783,moaC,818570,819055,1
b0784,moaD,819048,819293,1
b0785,moaE,819295,819747,1
b0786,ybhL,819884,820588,1
b0787,ybhM,820793,821506,1
b0788,ybhN,821542,822498,-1
b0789,clsB,822498,823739,-1
b0790,ybhP,823736,824497,-1
b0791,ybhQ,824630,825040,1
b0792,ybhR,825002,826108,-1
b0793,ybhS,826119,827252,-1
b0794,ybhF,827245,828981,-1
b0795,ybhG,828974,829972,-1
b0796,cecR,829972,830643,-1
b0797,rhlE,830872,832236,1
b0798,ybiA,832468,832950,-1
b0799,dinG,833070,835220,1
b0800,ybiB,835248,836210,1
b0801,hcxB,836351,837436,1
b0802,ybiJ,837665,837925,-1
b0803,ybiI,838190,838456,-1
b0804,ybiX,838530,839207,-1
b0805,fiu,839249,841531,-1
b0806,mcbA,841796,842056,-1
b0807,rlmF,842332,843258,1
b0808,ybiO,843255,845480,-1
b0809,glnQ,845741,846463,-1
b0810,glnP,846460,847119,-1
b0811,glnH,847258,848004,-1
b0812,dps,848408,848911,-1
b0813,rhtA,849210,850097,-1
b4736,yliM,850332,850397,1
b0814,ompX,850450,850965,1
b0815,opgE,851014,852597,-1
b4705,mntS,852869,852997,-1
b0817,mntR,853183,853650,1
b0818,ybiR,853647,854765,1
b0819,ldtB,854824,855744,-1
b0820,ybiT,855963,857555,1
b0821,ybiU,857796,859061,-1
b0822,ybiV,859213,860028,-1
b0823,ybiW,860174,862606,-1
b0824,ybiY,862612,863511,-1
b0825,fsaA,863642,864304,1
b0826,moeB,864380,865129,-1
b0827,moeA,865129,866364,-1
b0828,iaaA,866568,867533,1
b0829,gsiA,867520,869391,1
b0830,gsiB,869411,870949,1
b0831,gsiC,870967,871887,1
b0832,gsiD,871890,872801,1
b0833,pdeI,872979,875327,1
b0834,dgcI,875335,876663,1
b0835,rimO,876710,878035,-1
b0836,bssR,878248,878631,1
b0837,yliI,878742,879857,1
b0838,gstB,879854,880480,-1
b0839,dacC,880727,881929,1
b0840,deoR,881976,882734,-1
b0841,ybjG,882792,883388,-1
b0842,mdfA,883673,884905,1
